City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
52,Butaritari,KI,2022-01-13 02:49:15,3.0707,172.7902,82.76,78,14,15.86,few clouds
53,Komsomolskiy,UZ,2022-01-13 02:49:15,40.4272,71.7189,36.32,48,100,9.22,overcast clouds
54,Torbay,CA,2022-01-13 02:45:33,47.6666,-52.7314,22.26,78,75,12.66,broken clouds
55,Port Elizabeth,ZA,2022-01-13 02:49:15,-33.918,25.5701,70.11,83,100,6.91,overcast clouds
56,Saskylakh,RU,2022-01-13 02:49:16,71.9167,114.0833,-36.17,100,70,5.21,broken clouds
57,Thompson,CA,2022-01-13 02:49:16,55.7435,-97.8558,-23.64,76,0,3.44,clear sky
58,Mar Del Plata,AR,2022-01-13 02:48:34,-38.0023,-57.5575,71.1,73,0,3.0,clear sky
59,Nishihara,JP,2022-01-13 02:49:16,26.1842,127.7558,58.68,76,75,17.27,broken clouds
60,Faanui,PF,2022-01-13 02:49:17,-16.4833,-151.75,78.01,84,100,15.64,light rain
61,Yellowknife,CA,2022-01-13 02:49:17,62.456,-114.3525,-7.58,84,100,5.75,light snow
62,Shitanjing,CN,2022-01-13 02:49:17,39.2342,106.3439,19.4,39,0,7.16,clear sky
63,Bredasdorp,ZA,2022-01-13 02:49:18,-34.5322,20.0403,68.29,77,100,13.8,overcast clouds
64,Bay Roberts,CA,2022-01-13 02:49:18,47.5999,-53.2648,22.05,76,100,3.0,overcast clouds
65,Georgetown,MY,2022-01-13 02:49:18,5.4112,100.3354,84.13,58,20,1.01,few clouds
66,Qasigiannguit,GL,2022-01-13 02:49:19,68.8193,-51.1922,12.45,92,94,6.46,overcast clouds
67,Saint-Philippe,RE,2022-01-13 02:49:19,-21.3585,55.7679,76.59,84,100,10.56,light rain
68,Cedar City,US,2022-01-13 02:49:19,37.6775,-113.0619,40.39,60,0,5.75,clear sky
69,Sharkan,RU,2022-01-13 02:49:19,57.2989,53.8712,-7.74,100,26,3.98,scattered clouds
70,Broome,US,2022-01-13 02:49:20,42.2506,-75.833,33.91,74,100,1.99,overcast clouds
71,Klaksvik,FO,2022-01-13 02:49:20,62.2266,-6.589,49.12,89,100,39.55,overcast clouds
72,Dikson,RU,2022-01-13 02:49:20,73.5069,80.5464,-2.04,94,100,20.49,light snow
73,Loukhi,RU,2022-01-13 02:49:21,66.0764,33.0381,32.2,94,100,11.65,light snow
74,Mount Isa,AU,2022-01-13 02:49:21,-20.7333,139.5,96.57,34,40,10.36,scattered clouds
75,Sept-Iles,CA,2022-01-13 02:48:16,50.2001,-66.3821,0.03,83,40,1.01,scattered clouds
76,Ostrovnoy,RU,2022-01-13 02:49:21,68.0531,39.5131,26.42,87,100,24.36,overcast clouds
77,Fortuna,US,2022-01-13 02:49:22,40.5982,-124.1573,56.32,82,0,1.99,clear sky
78,Ngunguru,NZ,2022-01-13 02:49:22,-35.6167,174.5,76.15,68,0,16.6,clear sky
79,Hilo,US,2022-01-13 02:46:08,19.7297,-155.09,78.53,85,100,4.61,moderate rain
80,Atuona,PF,2022-01-13 02:49:22,-9.8,-139.0333,77.85,73,12,8.25,few clouds
81,Takaka,NZ,2022-01-13 02:49:23,-40.85,172.8,66.56,63,71,10.0,broken clouds
82,North Platte,US,2022-01-13 02:49:23,41.1239,-100.7654,40.24,72,0,4.0,clear sky
83,Bentiu,SS,2022-01-13 02:49:24,9.2333,29.8333,81.54,31,79,4.54,broken clouds
84,Meadow Lake,US,2022-01-13 02:45:30,34.8014,-106.5436,45.88,39,0,6.6,clear sky
85,Kontagora,NG,2022-01-13 02:49:24,10.3999,5.4695,73.31,22,3,4.88,clear sky
86,Tolga,DZ,2022-01-13 02:49:24,34.7222,5.3785,49.01,58,0,12.53,clear sky
87,Pisco,PE,2022-01-13 02:44:54,-13.7,-76.2167,72.01,88,100,9.22,overcast clouds
88,Aksarka,RU,2022-01-13 02:49:25,66.5606,67.7975,9.3,88,100,12.1,overcast clouds
89,Haines Junction,CA,2022-01-13 02:50:25,60.7522,-137.5108,12.15,85,100,2.3,overcast clouds
90,Quatre Cocos,MU,2022-01-13 02:50:25,-20.2078,57.7625,81.09,84,98,8.68,overcast clouds
91,Beyneu,KZ,2022-01-13 02:50:26,45.3167,55.2,28.27,85,12,7.65,few clouds
92,Krasnoturansk,RU,2022-01-13 02:50:26,54.3186,91.5639,11.19,96,100,3.24,overcast clouds
93,Cape Town,ZA,2022-01-13 02:47:25,-33.9258,18.4232,69.89,69,0,3.0,clear sky
94,Lompoc,US,2022-01-13 02:50:26,34.6391,-120.4579,64.13,49,0,0.0,clear sky
95,Lebu,CL,2022-01-13 02:50:27,-37.6167,-73.65,56.5,93,8,5.82,clear sky
96,Otjiwarongo,NA,2022-01-13 02:50:27,-20.4637,16.6477,64.58,30,100,4.34,overcast clouds
97,Bulawayo,ZW,2022-01-13 02:50:27,-20.15,28.5833,64.06,95,100,12.24,light rain
98,Urucara,BR,2022-01-13 02:50:28,-2.5364,-57.76,74.03,92,91,0.96,overcast clouds
99,Gazli,UZ,2022-01-13 02:50:28,40.1333,63.45,38.01,91,96,3.8,overcast clouds
100,Negombo,LK,2022-01-13 02:47:10,7.2083,79.8358,78.85,100,20,2.3,few clouds
101,San Cristobal,VE,2022-01-13 02:50:28,7.7669,-72.225,68.18,93,54,2.15,broken clouds
102,Normandin,CA,2022-01-13 02:50:29,48.8333,-72.5321,3.51,77,51,9.22,broken clouds
103,Severo-Kurilsk,RU,2022-01-13 02:50:29,50.6789,156.125,31.95,88,100,41.94,light snow
104,Khatanga,RU,2022-01-13 02:50:29,71.9667,102.5,-11.69,99,100,5.26,overcast clouds
105,Bairiki,KI,2022-01-13 02:50:30,1.3292,172.9752,86.0,70,20,14.97,few clouds
106,Erzin,TR,2022-01-13 02:50:30,36.9559,36.2,43.32,86,100,1.61,overcast clouds
107,Moerai,PF,2022-01-13 02:50:30,-22.4333,-151.3333,76.57,85,100,12.66,light rain
108,Sur,OM,2022-01-13 02:50:30,22.5667,59.5289,66.42,55,2,0.92,clear sky
109,Sitka,US,2022-01-13 02:50:31,57.0531,-135.33,39.09,93,100,0.0,overcast clouds
110,Serebryansk,KZ,2022-01-13 02:50:31,49.6925,83.2892,-2.65,88,100,4.23,overcast clouds
111,Amurzet,RU,2022-01-13 02:50:31,47.6967,131.0981,-4.25,82,100,12.53,overcast clouds
112,San Patricio,US,2022-01-13 02:50:32,28.017,-97.5169,62.58,80,48,4.81,scattered clouds
113,Tasiilaq,GL,2022-01-13 02:50:32,65.6145,-37.6368,4.62,63,42,10.2,scattered clouds
114,Lucapa,AO,2022-01-13 02:50:32,-8.4192,20.7447,64.99,99,100,3.47,light rain
115,San Mateo Del Mar,MX,2022-01-13 02:46:16,16.2,-95.0,75.83,70,1,30.78,clear sky
116,Waingapu,ID,2022-01-13 02:46:08,-9.6567,120.2641,87.26,65,97,4.72,moderate rain
117,Cherskiy,RU,2022-01-13 02:50:33,68.75,161.3,-28.55,99,15,2.53,few clouds
118,Doctor Arroyo,MX,2022-01-13 02:50:33,23.6667,-100.1833,58.77,57,62,2.8,broken clouds
119,Okha,RU,2022-01-13 02:50:33,53.5739,142.9478,23.95,86,100,14.97,overcast clouds
120,Bara,NG,2022-01-13 02:50:34,10.3744,10.7288,67.46,24,2,5.12,clear sky
121,Sinegorye,RU,2022-01-13 02:50:34,62.0788,150.477,-10.7,92,100,2.91,overcast clouds
122,Iganga,UG,2022-01-13 02:50:34,0.6092,33.4686,64.06,55,100,5.75,overcast clouds
123,Isfana,KG,2022-01-13 02:50:35,39.8386,69.5306,25.36,69,100,5.64,overcast clouds
124,Ketchikan,US,2022-01-13 02:50:35,55.3422,-131.6461,39.18,100,100,3.44,fog
125,Antalaha,MG,2022-01-13 02:50:35,-14.9003,50.2788,75.38,89,100,4.14,overcast clouds
126,Thai Binh,VN,2022-01-13 02:50:36,20.45,106.3333,60.8,78,100,10.85,overcast clouds
127,Brigantine,US,2022-01-13 02:50:36,39.4101,-74.3646,38.01,71,0,0.0,clear sky
128,Saint-Gilles,FR,2022-01-13 02:50:36,43.6766,4.4302,35.69,75,0,11.5,clear sky
129,Hobart,AU,2022-01-13 02:46:13,-42.8794,147.3294,72.01,66,75,1.99,broken clouds
130,Carutapera,BR,2022-01-13 02:50:37,-1.195,-46.02,75.87,88,74,4.07,broken clouds
131,Dingle,PH,2022-01-13 02:50:37,10.9995,122.6711,80.94,70,93,15.23,overcast clouds
132,Mahebourg,MU,2022-01-13 02:50:37,-20.4081,57.7,81.25,88,40,5.75,scattered clouds
133,Saint-Augustin,CA,2022-01-13 02:50:38,51.226,-58.6502,23.49,92,100,19.51,snow
134,Taoudenni,ML,2022-01-13 02:50:38,22.6783,-3.9836,60.33,14,50,8.55,scattered clouds
135,Puerto Rico,AR,2022-01-13 02:51:38,-26.796,-55.024,69.75,28,0,2.28,clear sky
136,Snyder,US,2022-01-13 02:51:39,32.7179,-100.9176,53.94,28,0,0.0,clear sky
137,Culleredo,ES,2022-01-13 02:51:39,43.2879,-8.3886,45.28,77,0,4.61,clear sky
138,Isla Aguada,MX,2022-01-13 02:51:39,18.7833,-91.4667,74.88,77,0,9.69,clear sky
139,Idah,NG,2022-01-13 02:51:40,7.1065,6.7342,77.0,78,42,3.31,scattered clouds
140,Srednekolymsk,RU,2022-01-13 02:51:40,67.45,153.6833,-38.51,100,89,2.33,overcast clouds
141,Saint George,US,2022-01-13 02:48:36,37.1041,-113.5841,51.53,41,0,1.99,clear sky
142,Geraldton,AU,2022-01-13 02:51:40,-28.7667,114.6,79.21,57,0,19.57,clear sky
143,Oakley,US,2022-01-13 02:51:41,37.9974,-121.7124,58.51,78,100,1.54,overcast clouds
144,Carnarvon,AU,2022-01-13 02:51:41,-24.8667,113.6333,84.27,48,0,18.41,clear sky
145,Airai,TL,2022-01-13 02:51:41,-8.9266,125.4092,71.67,67,100,4.81,overcast clouds
