City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
553,Miandrivazo,-19.5167,45.4667,81.5,73,97,7.94,MG,2022-01-09 17:13:55
554,Hazorasp,41.3194,61.0742,35.44,68,60,8.32,UZ,2022-01-09 17:13:56
555,Fairfield,41.2668,-73.3162,41.88,69,75,1.99,US,2022-01-09 17:13:56
556,Oktyabrskiy,54.4815,53.471,-3.48,100,67,5.48,RU,2022-01-09 17:13:56
557,Yar-Sale,66.8333,70.8333,-12.17,97,96,9.04,RU,2022-01-09 17:13:57
558,Figeac,44.75,1.9167,42.85,97,100,7.58,FR,2022-01-09 17:13:57
559,Arman,59.7,150.1667,8.02,85,100,8.39,RU,2022-01-09 17:13:57
560,Stornoway,58.2093,-6.3865,40.93,94,40,0.0,GB,2022-01-09 17:13:58
561,Sale,34.0389,-6.8166,61.48,63,0,5.75,MA,2022-01-09 17:12:25
562,Rosetown,51.5501,-108.0014,-15.02,85,100,2.06,CA,2022-01-09 17:13:58
563,Margate,51.3813,1.3862,43.03,80,12,11.56,GB,2022-01-09 17:13:58
564,Lagunas,-5.2269,-75.6753,97.5,34,69,5.59,PE,2022-01-09 17:13:59
565,Bilma,18.6853,12.9164,61.05,15,3,11.95,NE,2022-01-09 17:13:59
566,Warrnambool,-38.3833,142.4833,53.82,90,18,6.82,AU,2022-01-09 17:13:59
567,Long Beach,33.767,-118.1892,66.74,67,0,5.75,US,2022-01-09 17:13:26
568,Honningsvag,70.9821,25.9704,26.35,63,40,11.5,NO,2022-01-09 17:14:00
569,Khanapur,15.6333,74.5167,62.33,94,13,5.1,IN,2022-01-09 17:14:00
570,Barcelos,41.5388,-8.6151,58.28,98,100,7.47,PT,2022-01-09 17:14:00
571,Wahpeton,46.2652,-96.6059,-4.07,65,0,5.75,US,2022-01-09 17:10:12
572,Bontang,0.1333,117.5,78.57,85,43,8.32,ID,2022-01-09 17:13:30
573,Oriximina,-1.7656,-55.8661,86.54,55,98,1.79,BR,2022-01-09 17:14:01
574,Cruz Alta,-28.6386,-53.6064,86.23,25,0,7.87,BR,2022-01-09 17:14:01
575,Kawalu,-7.3817,108.2082,73.2,97,96,0.47,ID,2022-01-09 17:14:01
576,Kotovsk,47.7531,29.532,33.48,99,100,3.96,UA,2022-01-09 17:14:02
577,Byron Bay,-28.65,153.6167,72.88,81,30,5.44,AU,2022-01-09 17:14:02
578,Linares,-35.85,-71.6,88.14,20,52,8.37,CL,2022-01-09 17:14:02
579,Isangel,-19.55,169.2667,79.81,81,37,15.7,VU,2022-01-09 17:14:03
580,Anadyr,64.75,177.4833,-12.5,70,0,8.95,RU,2022-01-09 17:14:03
581,Naron,43.5167,-8.1528,59.85,96,100,14.92,ES,2022-01-09 17:14:03
582,Egvekinot,66.3167,-179.1667,-8.36,59,1,12.71,RU,2022-01-09 17:14:04
583,Yulara,-25.2406,130.9889,89.44,13,27,16.11,AU,2022-01-09 17:14:04
584,Zyryanskoye,56.8306,86.6258,22.35,90,96,12.95,RU,2022-01-09 17:14:04
585,San Severino Marche,43.2281,13.1802,35.71,99,100,6.29,IT,2022-01-09 17:14:04
586,Auki,-8.7676,160.7034,79.14,87,99,9.37,SB,2022-01-09 17:14:05
587,Aklavik,68.2191,-135.0107,-28.48,98,10,4.16,CA,2022-01-09 17:14:05
588,Casino,-28.8667,153.05,68.56,94,54,0.0,AU,2022-01-09 17:14:05
589,Kokopo,-4.352,152.2633,76.32,80,100,5.48,PG,2022-01-09 17:14:06
